Trial,Time impact [ms],Ax,Ay,Az,gx,gy,gz,Final Velocity
1,1245,18.2,54.79,30.83,13.53,0.09,5.65,27.77
2,1152,18.02,54.76,30.83,11.91,1.76,3.9,22.8
3,935,26.76,63.01,30.91,12.59,2.29,5.99,24.3
4,1045,24.14,78.18,28.1,14.39,5.63,5.87,27.777
5,995,27.25,78.18,44.57,16.01,2.18,3.56,29.9
6,931,19.54,78.18,35.71,16.28,6,3.63,26.81
7,914,37.72,72.18,25.13,16.59,7.59,2.04,26.81
8,912,32.09,78.18,26.44,14.71,6.1,4.8,25.92
9,912,31.03,78.18,30.18,15.88,3.97,4.11,29.9
10,869,28.04,75.53,20.85,14.76,4.77,4.11,24.3
11,867,38.62,78.18,27.1,14.64,7.83,4.68,26.81
12,945,22.17,78.18,52.22,15.66,4.57,4.52,26.81
13,988,20.75,71.04,15.73,15,6.55,1.43,26.81
14,960,11.58,73.56,15.23,14.94,5.36,1.65,26.81
15,880,24.42,78.18,25.15,16.12,7.19,2.67,27.777
16,915,30.2,74,22.55,14.63,1.22,1.75,25.92
17,893,36.92,68.51,0.77,12.56,4.64,3.83,25.08
18,880,26.57,78.18,76.43,12.62,5.6,5.19,25.08
19,970,17.69,65.44,31.7,13.99,5.29,6.93,26.81
20,954,22.36,78.18,41.09,15.08,1.57,6.01,25.92
21,1045,32.19,78.18,27.56,14.73,6.39,4.57,24.3
22,931,25.16,62.95,3.93,13.02,4.84,4.12,24.3
23,980,15.14,55.29,35.22,14.1,6.52,3.78,22.87
24,1001,18.07,57.67,34.52,15.15,3.87,4.8,25.92
25,915,23.27,78.18,36.07,16.21,6.05,4.14,29.9
